filename,split,entropy_pseudo,entropy_gt,entropy_diff
ica_45.tif,train,0.3509,0.5911,-0.2402
kagera_41.tif,train,1.0257,0.9212,0.1045
austin_10.tif,train,1.0597,1.0863,-0.0266
kagera_56.tif,train,0.8958,0.9250,-0.0291
malopolskie_16.tif,train,0.3811,0.3793,0.0018
lima_41.tif,train,0.5625,0.2091,0.3534
lambayeque_14.tif,train,1.2140,1.0578,0.1561
podlaskie_3.tif,train,0.2939,0.1711,0.1228
pisco_27.tif,train,0.7286,0.7437,-0.0151
svaneti_66.tif,train,0.1339,0.3807,-0.2468
lima_1.tif,train,1.0211,1.0307,-0.0096
dortmund_1.tif,train,1.1285,1.2419,-0.1134
mahe_52.tif,train,1.1036,1.2878,-0.1842
dhaka_37.tif,train,1.1903,1.1568,0.0334
chisinau_45.tif,train,1.1506,1.3119,-0.1612
daressalaam_70.tif,train,1.3855,1.6079,-0.2224
mahe_61.tif,train,0.8728,0.9836,-0.1108
chicago_6.tif,train,1.1608,1.2218,-0.0610
warminsko-mazurskie_8.tif,train,0.5459,0.5449,0.0010
pisco_37.tif,train,0.7293,0.6072,0.1221
ica_42.tif,train,0.6957,0.5704,0.1253
lohur_16.tif,train,1.5627,1.5273,0.0354
daressalaam_79.tif,train,1.0576,1.0510,0.0066
wielkopolskie_6.tif,train,0.2238,0.2006,0.0232
khartoum_25.tif,train,1.1430,1.1387,0.0043
chisinau_67.tif,train,0.9531,1.0725,-0.1194
christchurch_67.tif,train,0.1439,0.1976,-0.0537
shanghai_44.tif,train,1.0980,0.9719,0.1260
lubuskie_10.tif,train,0.6449,0.6424,0.0025
vienna_8.tif,train,0.7456,0.6447,0.1010
ulaanbaatar_44.tif,train,0.7610,1.2200,-0.4590
daressalaam_5.tif,train,0.5822,0.6094,-0.0272
chisinau_5.tif,train,1.0361,1.0310,0.0051
ica_40.tif,train,0.5996,0.6946,-0.0950
coxsbazar_64.tif,train,0.8517,0.9142,-0.0625
khartoum_65.tif,train,1.1199,0.9699,0.1500
accra_11.tif,train,0.9885,0.6853,0.3032
tyrolw_4.tif,train,0.4184,0.2570,0.1613
chiclayo_50.tif,train,0.2605,0.3314,-0.0709
pisco_9.tif,train,0.6895,0.7971,-0.1076
baybay_48.tif,train,0.4960,0.5371,-0.0411
accra_16.tif,train,1.2362,1.3470,-0.1108
monrovia_19.tif,train,0.8585,0.8620,-0.0035
rio_46.tif,train,1.3480,1.3417,0.0064
daressalaam_76.tif,train,0.9976,1.1883,-0.1907
tokyo_42.tif,train,1.2957,1.4320,-0.1363
dolnoslaskie_37.tif,train,0.3635,0.3814,-0.0179
bielefeld_32.tif,train,0.9445,1.0673,-0.1229
shanghai_6.tif,train,0.8712,0.2488,0.6224
pomorskie_8.tif,train,0.5525,0.3934,0.1590
slaskie_13.tif,train,1.0996,1.1386,-0.0390
vienna_10.tif,train,0.1968,0.1821,0.0147
zanzibar_3.tif,train,0.7725,0.7382,0.0343
vienna_56.tif,train,1.2360,1.2509,-0.0149
kagera_1.tif,train,0.8715,0.7372,0.1342
sechura_35.tif,train,0.9135,0.9937,-0.0802
dortmund_24.tif,train,1.6731,1.7064,-0.0333
lambayeque_33.tif,train,1.1629,1.2053,-0.0424
sechura_19.tif,train,0.7654,0.8458,-0.0804
santiago_34.tif,train,1.1470,1.4556,-0.3086
zanzibar_144.tif,train,1.1813,1.1836,-0.0024
vienna_12.tif,train,1.5121,1.6131,-0.1010
wielkopolskie_19.tif,train,1.1243,1.2142,-0.0900
santiago_37.tif,train,0.9123,0.6916,0.2207
tonga_12.tif,train,1.4443,1.4309,0.0133
melbourne_15.tif,train,1.4733,1.5351,-0.0618
svaneti_6.tif,train,0.3737,0.5041,-0.1304
ulaanbaatar_20.tif,train,0.9997,1.2963,-0.2967
rotterdam_46.tif,train,1.2182,0.8127,0.4055
wielkopolskie_10.tif,train,0.3784,0.4718,-0.0934
niamey_9.tif,train,1.5175,1.6373,-0.1198
dhaka_18.tif,train,1.1358,1.0720,0.0639
kitsap_50.tif,train,1.2090,1.2773,-0.0684
ngaoundere_49.tif,train,0.9697,1.0372,-0.0675
ngaoundere_38.tif,train,1.1802,1.1719,0.0083
lima_8.tif,train,1.1475,1.2144,-0.0668
santiago_31.tif,train,1.4349,1.4443,-0.0094
shanghai_57.tif,train,1.4491,1.5702,-0.1211
shanghai_50.tif,train,1.1213,0.7229,0.3984
daressalaam_8.tif,train,1.1203,1.0343,0.0860
christchurch_8.tif,train,1.3647,1.4198,-0.0550
daressalaam_39.tif,train,1.2357,1.5127,-0.2770
coxsbazar_3.tif,train,1.3759,1.5084,-0.1325
dolnoslaskie_36.tif,train,0.5787,0.5485,0.0302
lima_21.tif,train,0.3928,0.4407,-0.0479
kagera_23.tif,train,0.8253,0.8663,-0.0410
muenster_32.tif,train,1.6506,1.7019,-0.0513
malopolskie_9.tif,train,0.3505,0.3581,-0.0076
mahe_33.tif,train,1.2668,1.4553,-0.1885
accra_50.tif,train,1.0962,1.4043,-0.3081
chisinau_10.tif,train,0.8654,0.8073,0.0581
zanzibar_137.tif,train,0.9423,1.2462,-0.3039
daressalaam_83.tif,train,1.0122,1.1109,-0.0987
chiangmai_10.tif,train,0.8668,0.8913,-0.0245
rio_48.tif,train,1.3596,1.5634,-0.2037
dolnoslaskie_23.tif,train,1.0927,1.0928,-0.0002
daressalaam_69.tif,train,1.3946,1.5827,-0.1881
kagera_28.tif,train,1.0949,1.1076,-0.0127
chiclayo_5.tif,train,0.6394,0.7685,-0.1291
zanzibar_38.tif,train,0.8173,0.8045,0.0128
bielefeld_31.tif,train,1.4395,1.4600,-0.0205
dhaka_60.tif,train,1.1960,1.2675,-0.0714
zanzibar_1.tif,train,0.8447,0.9294,-0.0847
chincha_24.tif,train,0.7664,0.8033,-0.0369
khartoum_39.tif,train,0.6228,0.6247,-0.0019
ngaoundere_66.tif,train,1.1412,0.9209,0.2204
tonga_63.tif,train,1.4316,1.4093,0.0223
piura_26.tif,train,1.2354,1.3131,-0.0777
monrovia_37.tif,train,1.4165,1.5862,-0.1698
slaskie_2.tif,train,0.3202,0.2895,0.0307
bielefeld_21.tif,train,1.0424,1.1076,-0.0652
santiago_66.tif,train,1.0811,1.1651,-0.0841
swietokrzyskie_36.tif,train,0.6057,0.5217,0.0840
lima_25.tif,train,0.2222,0.4153,-0.1931
slaskie_6.tif,train,0.5315,0.5859,-0.0544
dortmund_43.tif,train,0.5127,0.6692,-0.1565
aachen_67.tif,train,0.5826,0.4257,0.1569
santiago_22.tif,train,0.7415,0.9069,-0.1654
ngaoundere_4.tif,train,1.0136,0.8938,0.1199
mahe_9.tif,train,1.1606,1.1354,0.0252
santiago_17.tif,train,1.0829,1.0645,0.0184
lambayeque_48.tif,train,1.0756,1.1491,-0.0735
santiago_44.tif,train,0.6793,1.1017,-0.4225
