filename,split,total_diff_pixels,Bareland_fn,Bareland_fp,Rangeland_fn,Rangeland_fp,Developed_fn,Developed_fp,Road_fn,Road_fp,Tree_fn,Tree_fp,Water_fn,Water_fp,Agriculture_fn,Agriculture_fp,Building_fn,Building_fp
chicago_36.tif,train,299426,0,0,17436,59,80184,149575,157530,18848,6701,223,0,0,0,0,37575,130721
tonga_35.tif,train,343016,0,190,112145,130513,19360,126025,15803,2409,149962,48553,34636,23867,0,331,11110,11128
rio_14.tif,train,206781,0,0,605,55357,49292,139138,90130,5784,1912,0,0,0,0,0,64842,6502
tonga_14.tif,train,386580,0,3637,132512,198830,23567,55703,18075,2017,199588,31119,0,17823,0,67788,12838,9663
aachen_9.tif,train,233303,0,0,86536,46232,82598,69061,13571,45087,26139,37712,17,878,0,16769,24442,17564
slaskie_25.tif,train,395171,0,0,18539,139036,50658,10976,2698,17138,84423,7313,236317,0,0,218917,2536,1791
rio_54.tif,train,223737,0,0,83446,17773,20735,164328,67970,5379,17099,12584,0,0,0,12899,34487,10774
abancay_43.tif,train,273019,0,1087,60880,27510,118178,120549,34350,24278,25249,6922,0,0,0,661,34362,92012
accra_28.tif,train,311320,0,0,172000,42308,59416,65882,18347,20161,38809,146805,1777,0,0,0,20971,36164
ngaoundere_63.tif,train,764966,534117,18087,216828,181967,6404,473066,2433,831,3978,77635,0,371,0,42,1206,12967
tokyo_58.tif,train,360995,0,0,28481,57880,107658,192044,93091,14866,20040,20531,0,355,27930,17,83795,75302
ngaoundere_59.tif,train,311742,0,0,130280,17645,83826,153439,29315,24973,9497,37505,0,0,10930,46984,47894,31196
coxsbazar_75.tif,train,162431,0,0,106920,46310,4527,0,0,2748,6092,108743,8769,15,36123,4600,0,15
slaskie_22.tif,train,231252,17528,0,22138,147972,39560,13674,9004,3289,83661,8237,54847,0,0,50819,4514,7261
accra_64.tif,train,599122,0,0,294249,76076,50455,321713,16245,13890,46326,128881,0,0,161237,0,30610,58562
vienna_30.tif,train,169824,0,0,16114,16643,67862,77128,15776,37849,16379,5194,0,0,0,15569,53693,17441
aachen_7.tif,train,408550,0,0,226676,78301,43097,79248,2249,23600,27061,15318,6221,170,35746,207329,67500,4584
