filename,split,region,noise_ratio,dominant_error,tsne_x,tsne_y
chicago_46.tif,train,chicago,0.3592,Bareland,29.0796,5.3295
daressalaam_121.tif,train,daressalaam,0.2830,Agriculture,-9.0904,-22.8065
pisco_31.tif,train,pisco,0.4631,Bareland,-23.1535,25.3656
melbourne_45.tif,train,melbourne,0.3259,Water,25.8299,25.8765
chisinau_29.tif,train,chisinau,0.2476,Rangeland,48.8598,-9.3090
khartoum_19.tif,train,khartoum,0.3819,Rangeland,59.5647,3.5616
daressalaam_38.tif,train,daressalaam,0.3326,Water,16.4927,23.6694
pisco_50.tif,train,pisco,0.2457,Road,8.0562,44.5254
dolnoslaskie_11.tif,train,dolnoslaskie,0.2252,Developed,-35.0893,-16.9987
baybay_4.tif,train,baybay,0.1140,Rangeland,-40.5739,-15.6658
koeln_1.tif,train,koeln,0.2577,Developed,-28.2910,-13.0526
austin_1.tif,train,austin,0.1396,Bareland,-4.1957,30.2479
chicago_48.tif,train,chicago,0.1884,Water,22.3441,8.5903
sechura_15.tif,train,sechura,0.2290,Bareland,-5.4634,50.0659
christchurch_24.tif,train,christchurch,0.4315,Agriculture,-32.9870,24.9421
lambayeque_9.tif,train,lambayeque,0.1905,Rangeland,50.2316,-1.6857
santiago_2.tif,train,santiago,0.3300,Rangeland,43.0158,3.4177
lodzkie_6.tif,train,lodzkie,0.1651,Rangeland,-54.7309,-16.2030
bielefeld_39.tif,train,bielefeld,0.3337,Water,-23.8927,-15.9564
aachen_47.tif,train,aachen,0.3120,Water,-46.3304,-22.5090
kagera_39.tif,train,kagera,0.2979,Developed,-29.1571,-5.9627
wielkopolskie_16.tif,train,wielkopolskie,0.3108,Road,-14.3882,-20.3705
daressalaam_54.tif,train,daressalaam,0.3664,Water,36.1171,27.4277
lohur_40.tif,train,lohur,0.1686,Road,-40.2008,-26.2660
ngaoundere_55.tif,train,ngaoundere,0.5233,Rangeland,-0.9475,-12.6649
swietokrzyskie_1.tif,train,swietokrzyskie,0.1555,Developed,-57.2476,-7.4546
vegas_31.tif,train,vegas,0.8609,Bareland,-10.3080,17.5481
swietokrzyskie_18.tif,train,swietokrzyskie,0.2613,Water,-50.1751,-22.9732
chicago_42.tif,train,chicago,0.3181,Bareland,12.2114,20.2579
muenster_27.tif,train,muenster,0.2048,Agriculture,-8.7633,39.9311
tonga_8.tif,train,tonga,0.3858,Tree,-3.8303,44.1858
dortmund_53.tif,train,dortmund,0.2141,Water,-27.7996,-17.6808
muenster_4.tif,train,muenster,0.2102,Water,-46.3061,-13.4057
viru_37.tif,train,viru,0.3260,Water,-47.2174,-22.3968
piura_14.tif,train,piura,0.4350,Bareland,-4.8151,-9.9842
chicago_45.tif,train,chicago,0.3034,Rangeland,40.8647,-0.8252
malopolskie_23.tif,train,malopolskie,0.2024,Road,-20.7562,8.5038
tonga_9.tif,train,tonga,0.2918,Tree,19.9377,-9.1015
rotterdam_43.tif,train,rotterdam,0.3470,Bareland,6.5696,39.9392
viru_40.tif,train,viru,0.2728,Water,-21.3980,29.4012
swietokrzyskie_35.tif,train,swietokrzyskie,0.0417,Tree,-46.2262,-25.9593
koeln_37.tif,train,koeln,0.2732,Water,-20.1353,-25.0571
tyrolw_65.tif,train,tyrolw,0.2446,Bareland,-26.3932,-15.1361
piura_47.tif,train,piura,0.2100,Rangeland,48.2853,-1.6643
duesseldorf_65.tif,train,duesseldorf,0.2833,Bareland,-42.4703,-6.2632
mazowieckie_18.tif,train,mazowieckie,0.2676,Developed,-44.4641,-15.9802
kitsap_9.tif,train,kitsap,0.2392,Rangeland,35.8933,8.4317
chicago_34.tif,train,chicago,0.2616,Rangeland,51.7402,6.9188
bielefeld_29.tif,train,bielefeld,0.4428,Rangeland,-24.5962,-9.2771
piura_13.tif,train,piura,0.6470,Water,-18.1537,26.1466
muenster_13.tif,train,muenster,0.2532,Road,39.3433,-14.1825
viru_16.tif,train,viru,0.4452,Rangeland,-6.3434,-40.0053
coxsbazar_28.tif,train,coxsbazar,0.2052,Water,-25.7110,16.3940
tyrolw_43.tif,train,tyrolw,0.1777,Road,-32.1421,-28.0674
pointenoire_1.tif,train,pointenoire,0.2190,Rangeland,53.0673,6.0956
coxsbazar_78.tif,train,coxsbazar,0.2321,Bareland,-37.7690,8.7451
monrovia_36.tif,train,monrovia,0.4059,Agriculture,-8.6340,-4.3984
dhaka_31.tif,train,dhaka,0.1117,Road,-13.9632,47.2044
paris_67.tif,train,paris,0.8581,Tree,15.6505,-15.0906
rotterdam_44.tif,train,rotterdam,0.3677,Road,33.9196,-16.4881
lambayeque_7.tif,train,lambayeque,0.1751,Rangeland,52.1314,-4.5788
vienna_18.tif,train,vienna,0.2239,Rangeland,44.4454,-8.7364
bogota_2.tif,train,bogota,0.2689,Rangeland,51.8414,-0.6930
austin_21.tif,train,austin,0.1670,Road,41.0556,-5.7310
